OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,OrderYear,OrderQuarter,OrderMonth,OrderDayOfWeek,IsWeekend,OrderMonthSin,OrderMonthCos,ComputedGrossPrice,TotalPriceDelta,TotalPriceDeltaAbs,HasCoupon,CouponFamily,IsDigitalPayment,CartUtilization,GrossCartValue,UnpurchasedCartItems,UnpurchasedCartValue,AddressNumber,UnitPriceTier,OrderValueSegment
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,2023,1,1,2,0,0.49999999999999994,0.8660254037844387,2853.1,0.0,0.0,1,Discount10,1,0.7142857142857143,3994.34,2,1141.24,928,Luxury,Premium
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,2024,3,8,4,0,-0.8660254037844385,-0.5000000000000004,302.7,0.0,0.0,1,Discount10,1,0.6666666666666666,454.05,1,151.35,823,Budget,Low
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,2024,1,2,1,0,0.8660254037844386,0.5000000000000001,2753.4,0.0,0.0,1,FreeShipping,1,0.625,4405.44,3,1652.04,512,Luxury,Premium
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,2023,4,10,6,1,-0.8660254037844386,0.5000000000000001,273.19,0.0,0.0,1,Discount10,1,0.2,1365.95,4,1092.76,275,Standard,Low
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,2025,2,5,3,0,0.49999999999999994,-0.8660254037844387,2504.04,0.0,0.0,1,Discount10,1,0.5,5008.08,4,2504.04,668,Luxury,Premium
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,2023,4,10,0,0,-0.8660254037844386,0.5000000000000001,491.72,0.0,0.0,1,Discount10,1,0.5,983.44,2,491.72,934,Standard,Medium
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,2025,2,6,1,0,1.2246467991473532e-16,-1.0,664.42,0.0,0.0,1,Discount10,1,0.16666666666666666,3986.52,5,3319.6012499999997,986,Luxury,Medium
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,2023,2,5,4,0,0.49999999999999994,-0.8660254037844387,747.75,0.0,0.0,1,FreeShipping,0,0.5555555555555556,1345.95,4,598.2,706,Budget,Medium
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,NO_COUPON,Email,268.56,2025,2,4,2,0,0.8660254037844387,-0.4999999999999998,268.56,0.0,0.0,0,NoCoupon,1,1.0,268.56,0,0.0,904,Budget,Low
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,2023,4,11,1,0,-0.5000000000000004,0.8660254037844384,2037.52,0.0,0.0,1,Discount10,1,0.6666666666666666,3056.28,2,1018.76,102,High,Premium
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,2023,4,12,4,0,-2.4492935982947064e-16,1.0,3129.85,0.0,0.0,1,Seasonal15,1,0.5555555555555556,5633.73,4,2503.88,333,Luxury,Premium
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,147.42,2024,1,2,5,1,0.8660254037844386,0.5000000000000001,147.42,0.0,0.0,1,Discount10,1,0.42857142857142855,343.98,4,196.56,831,Budget,Low
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,361.0,2024,4,10,1,0,-0.8660254037844386,0.5000000000000001,361.0,0.0,0.0,1,FreeShipping,1,0.3333333333333333,1083.0,4,722.0,179,Budget,Low
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47,2023,3,8,2,0,-0.8660254037844385,-0.5000000000000004,604.47,0.0,0.0,1,FreeShipping,1,0.75,805.96,1,201.49,903,Standard,Medium
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980 Main St,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,786.66,2023,1,3,0,0,1.0,6.123233995736766e-17,786.66,0.0,0.0,1,Discount10,1,0.6666666666666666,1179.99,1,393.33,980,High,Medium
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,Cash,Delivered,TRK54930938,3,NO_COUPON,Google,473.96,2023,3,7,0,0,-0.4999999999999997,-0.8660254037844388,473.96,0.0,0.0,0,NoCoupon,0,0.3333333333333333,1421.88,2,947.92,942,High,Medium
ORD200016,2023-01-24,C28976,Printer,2,533.81,914 Main St,Credit Card,Pending,TRK13194259,3,FREESHIP,Email,1067.62,2023,1,1,1,0,0.49999999999999994,0.8660254037844387,1067.62,0.0,0.0,1,FreeShipping,1,0.6666666666666666,1601.43,1,533.81,914,Luxury,High
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,Debit Card,Shipped,TRK11972116,3,NO_COUPON,Referral,423.4,2024,1,3,5,1,1.0,6.123233995736766e-17,423.4,0.0,0.0,0,NoCoupon,1,0.3333333333333333,1270.2,2,846.8,382,High,Medium
ORD200018,2025-03-26,C84329,Desk,1,431.44,891 Main St,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,431.44,2025,1,3,2,0,1.0,6.123233995736766e-17,431.44,0.0,0.0,1,Discount10,1,0.3333333333333333,1294.32,2,862.88,891,High,Medium
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,Cash,Returned,TRK59101365,9,SAVE10,Google,1120.0,2023,1,1,0,0,0.49999999999999994,0.8660254037844387,1120.0,0.0,0.0,1,Discount10,0,0.5555555555555556,2016.0,4,896.0,273,Standard,High
ORD200020,2023-05-08,C54829,Chair,5,62.51,587 Main St,Cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55,2023,2,5,0,0,0.49999999999999994,-0.8660254037844387,312.55,0.0,0.0,1,Seasonal15,0,0.5555555555555556,562.59,4,250.04,587,Budget,Low
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,Cash,Delivered,TRK52646983,6,NO_COUPON,Google,1371.8,2024,4,11,6,1,-0.5000000000000004,0.8660254037844384,1371.8,0.0,0.0,0,NoCoupon,0,0.6666666666666666,2057.7,2,685.9,569,Standard,High
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633 Main St,Online,Pending,TRK75937350,2,SAVE10,Google,99.24,2023,1,1,6,1,0.49999999999999994,0.8660254037844387,99.24,0.0,0.0,1,Discount10,1,1.0,99.24,0,0.0,633,Budget,Low
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0,2025,2,4,2,0,0.8660254037844387,-0.4999999999999998,1093.0,0.0,0.0,1,FreeShipping,1,0.8,1366.25,1,273.25,755,Standard,High
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,461.9,2024,4,10,2,0,-0.8660254037844386,0.5000000000000001,461.9,0.0,0.0,1,Seasonal15,1,0.6666666666666666,692.85,1,230.95,956,Standard,Medium
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,399.98,2024,3,7,2,0,-0.4999999999999997,-0.8660254037844388,399.98,0.0,0.0,1,Seasonal15,1,0.3333333333333333,1199.94,2,799.96,709,High,Low
